message_zh,warning_id
未获得足够的区分条件，已选注册的最泛用默认型式；结果为暂定，补齐最小缺失字段后重算。,W_DEFAULTED
已有条件触发了选型规则，但仍缺少部分必要工况证据；结果为暂定，按最小缺失字段补齐后重算。,W_INCOMPLETE_CONTEXT
缺少PN或Class额定等级；操作压力不能单独替代材料—温度条件下的额定等级核定。,W_RATING_MISSING
所选类型的标准表列范围与输入存在冲突；类型仅作保底，不得据此生成标准尺寸或宣称符合标准。,W_SCOPE_MISMATCH
温度能力受具体材料、填充层和法兰材料p-T曲线限制，必须在材料确定后复核。,W_MATERIAL_PT
特殊、超范围、零逸散、防火或卫生工况需项目规范及供应商/试验确认。,W_VENDOR_SPECIAL
本标准类型表不足以证明防火或可清洗/卫生性能；已保留类型推荐但必须补专项验证。,W_FIRE_CLEAN
含石棉材料受现行法律、健康和项目禁限用要求约束，程序不会将其作为默认。,W_ASBESTOS
石棉或柔性石墨用于不锈钢/镍基合金法兰时，垫片材料氯离子含量不得超过标准条款限值。,W_CHLORIDE
要求内径齐平时，应提供法兰内径并在订货时明确；程序类型选择不能替代制造尺寸确认。,W_FLUSH_BORE
用户强制候选触发硬排除，程序已拒绝并改选未被排除的唯一候选。,W_FORCED_REJECTED
多个必需兼容条件相互冲突；程序按优先级保留更高优先级条件并报警。,W_COMPAT_CONFLICT
已采用2012年5月后发布勘误：A/B/C、PN40、LWN、NPT及Class300修正。,W_ERRATA_APPLIED
