annotation_class,candidate_ids,object_family,predicate_json,reason,rule_id,score,source_refs
SOURCE_NORMALIZATION,FL_CL_SO|FL_PN_SO,flange_type,"{""all"":[{""field"":""utility_service"",""op"":""eq"",""value"":true},{""field"":""low_sealing_demand"",""op"":""eq"",""value"":true},{""field"":""flammability"",""op"":""in"",""value"":[""nonflammable"",""unknown"",null]}]}",公用工程、非易燃、低密封要求优先平焊,SC_FL_UTILITY_SO,45,E_P490
SOURCE_NORMALIZATION,FL_CL_TH|FL_PN_TH,flange_type,"{""field"":""instrument_service"",""op"":""eq"",""value"":true}",仪表小口径工况优先螺纹法兰,SC_FL_INSTRUMENT_TH,70,E_P490|E_P532
SOURCE_NORMALIZATION,FL_CL_LF_SE|FL_PN_PJ_SE|FL_PN_PJ_RJ,flange_type,"{""field"":""lining_material"",""op"":""in"",""value"":[""stainless"",""nickel"",""titanium"",""other""]}",衬里管道优先松套/焊环结构,SC_FL_LINED,70,E_P490
DETERMINISTIC_DERIVATION,FL_PN_BL_S,flange_type,"{""all"":[{""field"":""closure_required"",""op"":""eq"",""value"":true},{""field"":""lining_material"",""op"":""in"",""value"":[""stainless"",""nickel"",""titanium"",""other""]}]}",衬里盲端优先衬里法兰盖,SC_FL_LINED_CLOSURE,35,E_P035|E_P036
SOURCE_NORMALIZATION,FL_PN_WN|FL_CL_WN|FL_PN_IF|FL_CL_IF,flange_type,"{""any"":[{""field"":""severe_cyclic"",""op"":""eq"",""value"":true},{""field"":""thermal_shock"",""op"":""eq"",""value"":true}]}",循环/热冲击优先高刚性结构,SC_FL_CYCLIC_WN,60,E_P250|E_P490
ENGINEERING_NORMALIZATION,FL_PN_WN|FL_CL_WN|FL_PN_IF|FL_CL_IF,flange_type,"{""any"":[{""field"":""toxicity"",""op"":""in"",""value"":[""high"",""extreme""]},{""field"":""flammability"",""op"":""in"",""value"":[""flammable"",""highly_flammable""]},{""field"":""leak_tightness"",""op"":""in"",""value"":[""high"",""zero_emission""]}]}",高危或高密封要求优先刚性较高的对焊/整体法兰,SC_FL_HIGH_HAZARD_WN,45,E_P250|E_P490
SOURCE_NORMALIZATION,FACE_FF,facing,"{""any"":[{""field"":""flange_material_group"",""op"":""eq"",""value"":""cast_iron""},{""field"":""mating_material_group"",""op"":""eq"",""value"":""cast_iron""}]}",铸铁接口优先FF,SC_FACE_CAST_FF,80,E_P491|E_P532
SOURCE_NORMALIZATION,FACE_FM_M_PAIR,facing,"{""field"":""internal_component_connection"",""op"":""eq"",""value"":true}",内部连接优先FM/M配对,SC_FACE_INTERNAL_FM,35,E_P490
ENGINEERING_NORMALIZATION,G_NON_ASBESTOS_FIBER,gasket_type,"{""all"":[{""field"":""utility_service"",""op"":""eq"",""value"":true},{""field"":""toxicity"",""op"":""in"",""value"":[""normal"",""moderate"",""unknown"",null]},{""field"":""vacuum_level"",""op"":""in"",""value"":[""none"",""unknown"",null]}]}",一般公用工程优先非石棉纤维橡胶板,SC_G_LOW_GENERAL_NAF,48,E_P252|E_P492
ENGINEERING_NORMALIZATION,G_MODIFIED_PTFE|G_PTFE_FLAT|G_PTFE_ENVELOPE_B,gasket_type,"{""field"":""corrosivity"",""op"":""in"",""value"":[""moderate"",""high"",""severe""]}",腐蚀性工况优先PTFE类，仍须材料相容性确认,SC_G_CORROSIVE_PTFE,80,E_P252|E_P492
