annotation_class,candidate_id,default_priority,object_family,policy_note,system_series
DETERMINISTIC_POLICY,FL_PN_PL,35,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_SO,55,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_WN,100,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_IF,92,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_SW,45,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_TH,30,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_PJ_SE,42,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_PJ_RJ,38,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_BL,20,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_BL_S,18,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_KWN_T,15,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_KWN_S,16,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_JPL,15,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_JSO,17,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_PN_JWN,20,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FL_CL_SO,55,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_WN,100,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_LWN,76,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_IF,92,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_SW,45,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_TH,30,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_LF_SE,48,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_BL,20,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_KWN_T,15,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FL_CL_KWN_S,16,flange_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FACE_RF,100,facing,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,FACE_FF,70,facing,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,FACE_FM_M_PAIR,60,facing,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,FACE_T_G_PAIR,58,facing,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,FACE_RJ,80,facing,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_RUBBER_FLAT,34,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_ASBESTOS_RUBBER,10,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_NON_ASBESTOS_FIBER,58,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_PTFE_FLAT,42,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_MODIFIED_PTFE,72,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_FLEX_GRAPHITE_REINFORCED,76,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_MICA_COMPOSITE,60,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_PTFE_ENVELOPE_A,50,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_PTFE_ENVELOPE_B,64,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_PTFE_ENVELOPE_C,44,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_METAL_JACKET_I,48,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_METAL_JACKET_II,46,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_SPIRAL_A,62,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_SPIRAL_B,72,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_SPIRAL_C,82,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_SPIRAL_D,100,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_KAMMPROFILE_A,68,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_KAMMPROFILE_B,82,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_KAMMPROFILE_C,80,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_RING_OVAL,78,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,G_RING_OCTAGONAL,84,gasket_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,BOTH
DETERMINISTIC_POLICY,FST_PN_HEX_I,50,fastener_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FST_PN_DOUBLE_I,72,fastener_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FST_PN_FULL_II,100,fastener_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,PN
DETERMINISTIC_POLICY,FST_CL_HEX_I,48,fastener_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
DETERMINISTIC_POLICY,FST_CL_FULL_HH,100,fastener_type,仅在硬排除和必需兼容之后用于唯一收敛；不是标准原文默认值,CLASS
