annotation_class,authority_label,bbox_pt_json,evidence_id,extraction_method,page_1based,qa_status,source_pdf_sha256,source_text_sha256,terminal_class,original_source_record_sha256,excluded_text_field_sha256,projection_scope
SOURCE_RAW_TEXT,编制说明表2-1：垫片类型、结构、范围与温度总览,"[0.0,0.0,595.44,842.04]",E_P014,ocr_text,14,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,593CCDB74355E7E32DAC510CCDC95686DFE683190E227964D23CD1782606707D,DIRECT_REUSE_EVIDENCE,077EC4FB90C38C9724A860A8229792F7DABCE1E7EB8C691DAA4CC86C5F7183AE,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,编制说明：聚四氟乙烯包覆垫片A/B/C结构差异与尺寸适用,"[0.0,0.0,595.44,842.04]",E_P015,ocr_text,15,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,B45CD2672DB0485B361AB740988C3F17B44A2EBF0C2CBA2E9D8F33AD3A1B776A,DIRECT_REUSE_EVIDENCE,A9271A23896752193E31B2AABF5800CF2E5A15B2F0EB58284E9F08081AC796AF,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,编制说明：紧固件类型、强度等级与螺纹系列,"[0.0,0.0,595.44,842.04]",E_P018,ocr_text,18,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,77D4DF9BA2D0A79DB890A299876D754BA631039A901237B7B22BF820D57E752A,DIRECT_REUSE_EVIDENCE,31C752298BEA8DD07C55D46FA970C81FC05DEEDFFD84B16F7D7ED0CD2761880D,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,编制说明：紧固件材料和适用性说明,"[0.0,0.0,595.44,842.04]",E_P019,ocr_text,19,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,662B4F0680324F831E7F818A8FFB3A8AC6B511C267CBED5A44A8EB1C65BA786C,DIRECT_REUSE_EVIDENCE,E8ECA261F8EA3C77084BF5082A127E1425F982CFED2B0D22831B32360A8297EF,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20592第3章：PN系列法兰类型图示,"[0.0,0.0,595.44,842.04]",E_P035,ocr_text,35,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,2A59592AD8150786AC025D524921D2829B97AAAA7450710CEA711908B2FD8A14,DIRECT_REUSE_EVIDENCE,285FCC6ACE6A9BE02DFF56C15FDA90DA8D1DC5EC90C1B496457044D41AFC0573,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20592表3.1.1：PN系列法兰类型代号,"[0.0,0.0,595.44,842.04]",E_P036,ocr_text,36,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,021667F45D7E2628D7AA92C67BECD9944C5F8E0DAE3B8C37F099739761CF8D6F,DIRECT_REUSE_EVIDENCE,217D8222632829E9CA309151983B53553827B8B26DAA6FFC1C7C7F93575DB1CF,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20592第3.2节：密封面型式,"[0.0,0.0,595.44,842.04]",E_P040,ocr_text,40,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,A0ECD04DF3E3E77202E20F2752160EA2316D6222826DC8B1E12B6B6A6FAF9C35,DIRECT_REUSE_EVIDENCE,71F6DDD1F648B5399555ADD37EC8F36DAED8C725E58D9866FCBCF771056806A7,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20592附录A：PN系列孔板法兰KWT-T/KWN-S型式,"[0.0,0.0,595.44,842.04]",E_P119,ocr_text,119,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,EA53EC21455019435C64B1C4FC23646BAAF68F9F1551810AA022A630F86AE82F,DIRECT_REUSE_EVIDENCE,BE9CE8632BFD4FB1EA382BCF59BDCDB12BCCA43F2C0E713E7D98BFF3D3FA5238,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20592附录A：孔板法兰范围与RF密封面,"[0.0,0.0,595.44,842.04]",E_P120,ocr_text,120,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,9F1E1CD8919DDE73BCAB75E974FBD714A61708C95FB708BED60571448C592C3D,DIRECT_REUSE_EVIDENCE,FF14D0C254B0361CDCCFFF84F01FFBA719C6DFDB280C61F84A7271D92AC8697A,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20592附录B：夹套法兰JPL/JSO/JWN型式与范围,"[0.0,0.0,595.44,842.04]",E_P128,ocr_text,128,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,D5D7724DFE9BB5C1B574E22DAD253F358E817C0AF27F8934CF4BF020DC3D8F50,DIRECT_REUSE_EVIDENCE,F7BCA6647192665EC04622A51D9CBD762A70EA87D56200458D56923A8E56EF21,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
