closure_note,closure_status,end_page,group_id,source_refs,start_page,title
表在第14页结束；第15页进入结构说明,CLOSED,14,LG_COMMENTARY_GASKET_TYPES,E_P014,14,编制说明表2-1
第251页表结束；第252页进入3.0.2,CLOSED,251,LG_PN_FLANGE_SELECTION,E_P250|E_P251,250,HG/T 20614表3.0.1
第253页表结束并进入3.0.3,CLOSED,253,LG_PN_GASKET_SELECTION,E_P252|E_P253,252,HG/T 20614表3.0.2
单页闭合,CLOSED,254,LG_PN_FASTENER_1,E_P254,254,HG/T 20614表3.0.3-1
第255页表结束并进入3.0.4,CLOSED,255,LG_PN_FASTENER_2,E_P254|E_P255,254,HG/T 20614表3.0.3-2
单页闭合；第257页进入曲线和A/B/C说明,CLOSED,256,LG_PN_ANNEX_GASKET,E_P256,256,HG/T 20614表A.0.3
单页闭合,CLOSED,490,LG_CLASS_FLANGE_SELECTION,E_P490,490,HG/T 20635表3.1.1
单页闭合,CLOSED,492,LG_CLASS_GASKET_SELECTION,E_P492,492,HG/T 20635表3.2.11
单页闭合,CLOSED,493,LG_CLASS_FASTENER_TYPES,E_P493,493,HG/T 20635表3.3.1
单页闭合,CLOSED,494,LG_CLASS_FASTENER_MATERIAL,E_P494,494,HG/T 20635表3.3.10
单页闭合；第496页进入曲线和A/B/C说明,CLOSED,495,LG_CLASS_ANNEX_GASKET,E_P495,495,HG/T 20635表A.0.3
只采用后发布勘误，旧勘误页不作为当前规则,CLOSED,532,LG_LATER_ERRATA,E_P531|E_P532,531,2012年5月勘误关键链
