annotation_class,candidate_id,class_max,class_min,current_code,default_priority,dn_max_mm,dn_min_mm,faces_allowed,name_zh,normalized_capability_summary,object_family,pn_max,pn_min,qa_status,source_raw_text,source_refs,subtype_group,system_series,temperature_max_c,temperature_min_c,terminal_selectable
ENGINEERING_NORMALIZATION,FL_PN_PL,,,PL,35,,,,板式平焊法兰,经济型；仅一般工况，严重循环工况排除,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,general,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_SO,,,SO,55,,,,带颈平焊法兰,一般管道连接；泛用性低于WN,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,general,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_WN,,,WN,100,,,,带颈对焊法兰,刚性和循环工况适用性较广；无充分条件时的注册默认,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,general,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_IF,,,IF,92,,,,整体法兰,设备管口或整体结构；刚性高,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,general,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_SW,,,SW,45,,,,承插焊法兰,小口径、非严重循环；缝隙/严重腐蚀排除,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,small_bore,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_TH,,,Th,30,,,,螺纹法兰,小口径仪表/公用工程；缝隙/严重腐蚀排除,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250|E_P531,small_bore,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_PJ_SE,,,PJ/SE,42,,,,对焊环松套法兰,衬里或耐蚀环连接；严重循环排除,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,lined_or_lap,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_PJ_RJ,,,PJ/RJ,38,,,,平焊环松套法兰,衬里或耐蚀环连接；严重循环排除,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036|E_P250,lined_or_lap,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_BL,,,BL,20,,,,法兰盖,盲端封闭专用,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036,closure,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_BL_S,,,BL(S),18,,,,衬里法兰盖,衬里盲端封闭专用,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P035|E_P036,closure,PN,,,true
