allowed_candidate_ids,annotation_class,object_family,predicate_json,priority,reason,rule_id,source_refs,strength
FL_PN_KWN_T|FL_CL_KWN_T,SOURCE_NORMALIZATION,flange_type,"{""all"":[{""field"":""orifice_service"",""op"":""eq"",""value"":true},{""field"":""pressure_tap_connection"",""op"":""eq"",""value"":""NPT""}]}",100,孔板测量且测压孔为NPT时匹配KWN-T,MC_FL_ORIFICE_NPT,E_P119|E_P334,MANDATORY
FL_PN_KWN_S|FL_CL_KWN_S,SOURCE_NORMALIZATION,flange_type,"{""all"":[{""field"":""orifice_service"",""op"":""eq"",""value"":true},{""field"":""pressure_tap_connection"",""op"":""eq"",""value"":""socket_weld""}]}",100,孔板测量且测压孔为承插焊时匹配KWN-S,MC_FL_ORIFICE_SW,E_P119|E_P334,MANDATORY
FL_PN_JPL|FL_PN_JSO|FL_PN_JWN,SOURCE_NORMALIZATION,flange_type,"{""field"":""jacketed_pipe"",""op"":""eq"",""value"":true}",95,夹套管连接限定夹套法兰族,MC_FL_JACKET,E_P128,MANDATORY
FL_PN_BL|FL_PN_BL_S|FL_CL_BL,SOURCE_NORMALIZATION,flange_type,"{""field"":""closure_required"",""op"":""eq"",""value"":true}",90,盲端封闭限定法兰盖,MC_FL_CLOSURE,E_P035|E_P270,MANDATORY
FACE_RJ,SOURCE_NORMALIZATION,facing,"{""field"":""ring_joint_required"",""op"":""eq"",""value"":true}",100,金属环垫必须配RJ,MC_FACE_RING,E_P202|E_P446|E_P492,MANDATORY
FACE_FF,ENGINEERING_NORMALIZATION,facing,"{""any"":[{""field"":""flange_material_group"",""op"":""eq"",""value"":""cast_iron""},{""field"":""mating_material_group"",""op"":""eq"",""value"":""cast_iron""}]}",80,钢—铸铁低等级连接按勘误后条款优先FF；宜用条款转为确定性政策时保留说明,MC_FACE_CAST_IRON,E_P491|E_P532,MANDATORY_POLICY
FACE_FM_M_PAIR|FACE_T_G_PAIR,SOURCE_NORMALIZATION,facing,"{""field"":""internal_component_connection"",""op"":""eq"",""value"":true}",70,内部连接优先凹凸或榫槽配对,MC_FACE_INTERNAL,E_P490,PREFERRED
G_RING_OVAL|G_RING_OCTAGONAL,SOURCE_NORMALIZATION,gasket_type,"{""any"":[{""field"":""ring_joint_required"",""op"":""eq"",""value"":true},{""field"":""current_facing"",""op"":""eq"",""value"":""RJ""}]}",100,RJ环槽限定金属环垫,MC_G_FACE_RJ,E_P202|E_P446|E_P492,MANDATORY
G_PTFE_ENVELOPE_A|G_PTFE_ENVELOPE_B|G_PTFE_ENVELOPE_C,SOURCE_NORMALIZATION,gasket_type,"{""field"":""gasket_family_preference"",""op"":""eq"",""value"":""ptfe_envelope""}",80,用户指定包覆垫族时，在硬排除之后优先A/B/C,MC_G_PREF_ENVELOPE,E_P162|E_P491,PREFERRED_STRONG
G_SPIRAL_A|G_SPIRAL_B|G_SPIRAL_C|G_SPIRAL_D,SOURCE_NORMALIZATION,gasket_type,"{""field"":""gasket_family_preference"",""op"":""eq"",""value"":""spiral_wound""}",80,用户指定缠绕垫族,MC_G_PREF_SPIRAL,E_P178|E_P416,PREFERRED_STRONG
G_KAMMPROFILE_A|G_KAMMPROFILE_B|G_KAMMPROFILE_C,SOURCE_NORMALIZATION,gasket_type,"{""field"":""gasket_family_preference"",""op"":""eq"",""value"":""kammprofile""}",80,用户指定齿形组合垫族,MC_G_PREF_KAMM,E_P190|E_P432,PREFERRED_STRONG
