annotation_class,candidate_id,capability_tags_json,limit_tags_json,normalized_annotation,source_raw_text,source_refs,strength_tags_json,weakness_tags_json
ENGINEERING_NORMALIZATION,FL_PN_PL,"{""faces"":[],""series"":""PN"",""subtype_group"":""general""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection""]",[]
ENGINEERING_NORMALIZATION,FL_PN_SO,"{""faces"":[],""series"":""PN"",""subtype_group"":""general""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection""]",[]
ENGINEERING_NORMALIZATION,FL_PN_WN,"{""faces"":[],""series"":""PN"",""subtype_group"":""general""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection"",""high_generality"",""cyclic_resistance""]",[]
ENGINEERING_NORMALIZATION,FL_PN_IF,"{""faces"":[],""series"":""PN"",""subtype_group"":""general""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection"",""high_generality"",""cyclic_resistance""]",[]
ENGINEERING_NORMALIZATION,FL_PN_SW,"{""faces"":[],""series"":""PN"",""subtype_group"":""small_bore""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection""]","[""crevice_corrosion_sensitive""]"
ENGINEERING_NORMALIZATION,FL_PN_TH,"{""faces"":[],""series"":""PN"",""subtype_group"":""small_bore""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250|E_P531,"[""pressure_boundary_connection""]","[""crevice_corrosion_sensitive""]"
ENGINEERING_NORMALIZATION,FL_PN_PJ_SE,"{""faces"":[],""series"":""PN"",""subtype_group"":""lined_or_lap""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection""]",[]
ENGINEERING_NORMALIZATION,FL_PN_PJ_RJ,"{""faces"":[],""series"":""PN"",""subtype_group"":""lined_or_lap""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036|E_P250,"[""pressure_boundary_connection""]",[]
ENGINEERING_NORMALIZATION,FL_PN_BL,"{""faces"":[],""series"":""PN"",""subtype_group"":""closure""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036,"[""pressure_boundary_connection""]",[]
ENGINEERING_NORMALIZATION,FL_PN_BL_S,"{""faces"":[],""series"":""PN"",""subtype_group"":""closure""}",{},候选能力标签仅用于确定性匹配；数值限值来自表列，定性等级为工程归一化，不替代材料p-T曲线、泄漏等级或供应商确认。,,E_P035|E_P036,"[""pressure_boundary_connection""]",[]
