annotation_class,candidate_ids,object_family,predicate_json,reason,rule_id,source_refs
ENGINEERING_NORMALIZATION,FL_PN_PL|FL_PN_PJ_SE|FL_PN_PJ_RJ|FL_CL_LF_SE,flange_type,"{""field"":""severe_cyclic"",""op"":""eq"",""value"":true}",板式平焊、螺纹及松套环类不得用于严重循环；保守将松套类先排除,HX_FL_SEVERE_CYCLIC_LAP,E_P250|E_P251|E_P490
SOURCE_NORMALIZATION,FL_PN_TH|FL_PN_SW|FL_CL_TH|FL_CL_SW,flange_type,"{""any"":[{""field"":""crevice_corrosion_risk"",""op"":""eq"",""value"":true},{""field"":""severe_corrosion"",""op"":""eq"",""value"":true},{""field"":""corrosivity"",""op"":""in"",""value"":[""high"",""severe""]}]}",螺纹法兰和承插焊法兰不用于可能缝隙腐蚀或严重腐蚀场合,HX_FL_CORROSION_TH_SW,E_P251|E_P491
SOURCE_NORMALIZATION,FL_CL_SO,flange_type,"{""any"":[{""field"":""flammability"",""op"":""in"",""value"":[""flammable"",""highly_flammable""]},{""field"":""explosivity"",""op"":""in"",""value"":[""possible"",""explosive""]},{""field"":""low_sealing_demand"",""op"":""eq"",""value"":false}]}",Class SO表列用途为公用工程或非易燃易爆、低密封要求,HX_FL_SO_HAZARD,E_P490
SOURCE_NORMALIZATION,FL_CL_SO,flange_type,"{""any"":[{""field"":""temperature_c"",""op"":""lt"",""value"":-45},{""field"":""temperature_c"",""op"":""gt"",""value"":200}]}",Class SO表列温度范围-45~200℃,HX_FL_SO_TEMP,E_P490
DETERMINISTIC_DERIVATION,FL_PN_KWN_T|FL_PN_KWN_S|FL_CL_KWN_T|FL_CL_KWN_S,flange_type,"{""field"":""orifice_service"",""op"":""eq"",""value"":false}",孔板法兰仅用于孔板测量连接,HX_FL_SPECIAL_NOT_ORIFICE,E_P119|E_P120|E_P334|E_P335
DETERMINISTIC_DERIVATION,FL_PN_JPL|FL_PN_JSO|FL_PN_JWN,flange_type,"{""field"":""jacketed_pipe"",""op"":""eq"",""value"":false}",夹套法兰仅用于夹套管连接,HX_FL_SPECIAL_NOT_JACKET,E_P128
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_A|G_PTFE_ENVELOPE_B|G_PTFE_ENVELOPE_C,gasket_type,"{""field"":""vacuum_level"",""op"":""in"",""value"":[""vacuum"",""high_vacuum""]}",聚四氟乙烯包覆垫片不用于真空,HX_G_ENVELOPE_VACUUM,E_P491
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_A|G_PTFE_ENVELOPE_B|G_PTFE_ENVELOPE_C,gasket_type,"{""field"":""core_corrosion_risk"",""op"":""eq"",""value"":true}",聚四氟乙烯包覆垫片不用于嵌入层材料易被介质腐蚀的场合,HX_G_ENVELOPE_CORE_CORROSION,E_P491
SOURCE_NORMALIZATION,G_ASBESTOS_RUBBER|G_NON_ASBESTOS_FIBER,gasket_type,"{""field"":""toxicity"",""op"":""in"",""value"":[""high"",""extreme""]}",石棉和非石棉垫片不用于极度或高度危害介质,HX_G_FLAT_HAZARD,E_P491
SOURCE_NORMALIZATION,G_ASBESTOS_RUBBER|G_NON_ASBESTOS_FIBER,gasket_type,"{""field"":""vacuum_level"",""op"":""eq"",""value"":""high_vacuum""}",石棉和非石棉垫片不用于高真空密封,HX_G_FLAT_HIGH_VAC,E_P491
SOURCE_NORMALIZATION,G_FLEX_GRAPHITE_REINFORCED,gasket_type,"{""all"":[{""field"":""oxidizing"",""op"":""eq"",""value"":true},{""field"":""temperature_c"",""op"":""gt"",""value"":450}]}",柔性石墨用于氧化性介质时最高450℃,HX_G_GRAPHITE_OXIDIZING,E_P491|E_P417|E_P433
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_A|G_PTFE_ENVELOPE_B,gasket_type,"{""field"":""dn_mm"",""op"":""gt"",""value"":500}",A/B型包覆垫适用于DN≤500,HX_G_ENVELOPE_A_B_DN,E_P015|E_P162
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_C,gasket_type,"{""field"":""dn_mm"",""op"":""lt"",""value"":350}",C型包覆垫用于DN≥350,HX_G_ENVELOPE_C_DN,E_P015|E_P162
SOURCE_NORMALIZATION,G_RING_OVAL|G_RING_OCTAGONAL,gasket_type,"{""field"":""current_facing"",""op"":""not_in"",""value"":[""RJ"",""unknown"",null]}",金属环垫仅配RJ环连接面,HX_G_RING_FACE,E_P202|E_P446|E_P492
SOURCE_NORMALIZATION,G_SPIRAL_A,gasket_type,"{""field"":""current_facing"",""op"":""not_in"",""value"":[""T/G"",""unknown"",null]}",A型缠绕垫适用T/G,HX_G_SPIRAL_A_FACE,E_P178|E_P416
SOURCE_NORMALIZATION,G_SPIRAL_B,gasket_type,"{""field"":""current_facing"",""op"":""not_in"",""value"":[""FM/M"",""unknown"",null]}",B型缠绕垫适用FM/M,HX_G_SPIRAL_B_FACE,E_P178|E_P416
SOURCE_NORMALIZATION,G_SPIRAL_C|G_SPIRAL_D,gasket_type,"{""field"":""current_facing"",""op"":""not_in"",""value"":[""RF"",""FF"",""unknown"",null]}",C/D型缠绕垫适用RF并可用于FF,HX_G_SPIRAL_CD_FACE,E_P178|E_P416
ENGINEERING_NORMALIZATION,FST_PN_HEX_I|FST_CL_HEX_I,fastener_type,"{""any"":[{""field"":""severe_cyclic"",""op"":""eq"",""value"":true},{""field"":""thermal_shock"",""op"":""eq"",""value"":true}]}",低强度/六角螺栓组件仅用于非严重循环；循环工况采用全螺纹螺柱,HX_FST_HEX_CYCLIC,E_P253|E_P254|E_P493|E_P494
